given_name,family_name,date_of_birth,place_of_birth
Julie,Ravenscroft,07-12-1971,Falkirk
Edna,Usher,17-07-1912,Cookstown
Eric,Jones,05-03-1956,Glasgow
John,Adkins,1849-06-30,Greenock
Margaret,Kimberley,12-01-1944,West Calder
Neil,Hayes,01-01-1982,Portsoy
Richard,Gunn,13-07-1925,Dromore
Robert,Thornley,10-01-1944,Newton Stewart
Sylvia,Mundy,27-06-1937,Lanark
William,Halfpenny,1867-08-27,Portadown
Trevor,Banks,04-01-1942,Kirkwall
John,Batten,16-11-1983,Lerwick
Edward,Pryddlech,1896-06-11,Edinburgh
Alice,Sissons,1863-08-19,Stranraer
Patricia,North,23-02-1924,Newry
Margaret,Thomas,1871-04-21,Dundee
Keith,Sanders,21-11-1944,Stornoway
Tom,Poole,1894-10-07,Kelso
Amos,Armitage,1896-12-06,Kinross
Lyndsay,Hart,15-03-1983,Kirkintilloch
Michael,Halbert,23-09-1952,Dalry
William,Prest,21-01-1941,Armagh
Abuzar,Woodward,20-03-1983,Banff
Arthur,Gough,1899-02-07,Lisburn
Sarah,Griffiths,1864-02-16,Musselburgh
Alfred,Puddephat,07-10-1901,Cupar
Stephen,Birch,13-12-1951,Clydebank
Hilda,Rigby,27-01-1915,Galashiels
Walter,Whiles,1881-03-15,Cupar
Thomas,Shilling,1870-01-24,Ayr
Alice,Hewer,1875-12-01,Stirling
Barbara,Attrill,31-05-1934,Thurso
Harold,Baiss,1877-08-25,Banbridge
Judith,Warne,03-08-1958,Kinross
Hester,Riches,1864-05-03,Carluke
Lucy,Beek,1853-10-23,Cookstown
Andrew,Goode,20-01-1955,Armagh
Richard,Green,1859-07-29,Forres
Mabel,Salway,1888-10-06,Grantown-on-Spey
Doris,Shone,15-07-1940,Clydebank
Ernest,Colmer,1867-03-22,Ardrossan
Charlotte,Heggie,24-03-1982,Downpatrick
Donald,Hearn,11-03-1952,Dumfries
Kay,Martin,25-10-1953,Forfar
Janet,Brown,14-10-1956,Perth
Norman,Terry,18-12-1913,Ballymena
Harold,Colclough,22-03-1930,Banbridge
William,Susams,1849-04-17,Cookstown
Thomas,Armstrong,1871-03-25,Crieff
Henry,Spink,1844-01-14,Thurso
Gordon,Bell,20-01-1970,Cupar
Keith,Westcott,24-04-1952,Omagh
Messina,Allman,18-09-1902,Carrickfergus
Margaret,Turvey,12-12-1952,Newtownards
Philip,Slater,15-11-1981,Forres
Genevieve,Noyes,13-07-1976,Ardrossan
Ann,Binns,13-08-1949,Aberdeen
Violet,Challoner,28-03-1915,Bangor
Trevor,Tice,22-04-1930,Peterhead
William,Fishwick,1884-02-23,Inverness
Mary,Forrest,1879-09-25,Kirkwall
Male,Millican,1892-12-23,Bellshill
Mary,Wright,1870-05-31,Banbridge
Gail,Duff,16-05-1967,Aberdeen
Margaret,Graydon,1893-01-15,Carrickfergus
Jean,Bryden,04-05-1938,Motherwell
Albert,Stone,1888-11-10,Forres
Edwin,Ellis,12-12-1934,Helensburgh
William,Carter,31-03-1913,Lisburn
Gertrude,Rushton,21-04-1908,Lanark
Sarah,Holland,22-01-1971,Bangor
Thomas,Rhodes,1873-10-10,Lisburn
Alice,Ponsford,1881-08-26,Huntly
Lorna,Ayres,27-01-1915,Langholm
Elizabeth,Mcwicker,1897-12-01,Dumfries
William,Tennant,1882-02-05,Paisley
Thomas,Medcalf,05-11-1913,Stornoway
Margaret,Howells,1838-11-03,Wick
Elizabeth,Digby,1894-11-13,Crieff
Rose,Pilcher,1874-04-14,St Andrews
Frederick,Chard,1876-03-27,Cookstown
Nellie,Gennis,1892-01-07,Wick
Susan,Carhart,20-08-1956,Dungannon
Eleanor,Dougherty,09-07-1953,Strabane
Henry,Belben,21-01-1910,Newton Stewart
Alice,Barrett,1870-01-21,Golspie
Gary,Worsfield,25-09-1951,Airdrie
Christine,Walker,10-04-1955,Campbeltown
Florence,Thompson,1878-09-02,Wishaw
Olena,Casril,1894-09-27,Glasgow
Annie,Weir,12-09-1927,Kinross
Derek,Wissner,07-02-1935,Larne
Ada,Gosling,1874-05-11,Annan
Edgar,King,1887-03-12,Rothesay
Alice,Jefferies,1872-05-18,Leven
Emma,Newton,28-09-1976,Dromore
James,Wilkinson,21-10-1926,Peterhead
John,Newell,22-03-1948,Banbridge
Joseph,Baum,08-03-1955,Kirkintilloch
Elizabeth,Beaumont,1898-07-25,Falkirk
Thomas,Sharrow,1866-12-11,Castle Douglas
Keith,Hopkins,02-01-1948,Nairn
Steve,Moody,26-01-1955,Buckie
Marilyn,Harman,26-04-1954,Carrickfergus
Ronald,Pike,27-07-1906,Wick
Sarah,Owen,02-11-1933,Dalry
Anne,Parkin,1841-08-13,Dromore
Paul,Ashwell,31-07-1964,Dunfermline
Percy,Aitken,15-07-1901,Bangor
Diane,Howells,30-10-1954,Kirriemuir
Philip,Pearce,06-06-1911,Lurgan
George,Frampton,30-03-1914,Rothesay
Alice,Powell,1864-01-12,Bathgate
Caroline,Peschke,19-02-1963,Crieff
Ronald,Macdonald,04-10-1908,Lerwick
David,Massarella,13-12-1942,Enniskillen
Jean,Waddams,13-02-1927,Oban
Tina,Marshall,26-09-1979,West Calder
Peter,Freestone,19-02-1951,Bridge of Allan
Mabel,Hicks,1882-04-25,Castle Douglas
Calliope,Margetson,1854-02-05,Hawick
David,Halliwell,20-06-1983,Cupar
Thomas,Barrow,1875-10-20,Edinburgh
Albert,Conner,1896-03-28,Lisburn
Richard,Cooper,25-01-1926,Musselburgh
Graham,Etchells,21-05-1958,Castle Douglas
Hannah,Guest,1842-03-07,Keith
John,Keenan,07-02-1968,Ayr
Lily,Noble,1880-10-01,Fraserburgh
Edith,Brace,1884-10-20,Perth
Emma,Draycott,1874-12-08,Invergordon
Elizabeth,Hawkins,1864-06-07,Lanark
William,Cook,1869-08-09,Forres
James,Bagnall,03-05-1959,Lurgan
Sarah,Elams,1847-09-23,Dundee
William,Chandler,1876-03-08,Dalry
Fred,Holden,1878-04-18,Huntly
Mary,Wright,1873-01-15,Banff
Marian,Mitchell,15-02-1948,Larne
Daniel,Homer,06-03-1917,Ardrossan
Clive,Johnson,09-05-1946,Dromore
Margaret,Myers,1859-04-21,Linlithgow
George,Holmes,04-05-1903,Ballymoney
Sylvia,Lamb,02-11-1911,Leven
Alfred,Bostock,1855-06-06,Londonderry
Sarah,Hart,1894-04-23,Armagh
John,Perfett,1863-07-09,Greenock
Stephen,Cone,19-10-1948,Inverness
Margaretha,Alt,1899-12-12,Helensburgh
Julie,Warrington,17-06-1972,Newton Stewart
Anne,Willcox,1862-05-18,Dunfermline
Margaret,Winrow,1879-04-26,Bathgate
Margaret,Scragg,1875-10-13,Dromore
Thomas,Draper,1864-01-27,Forres
Herbert,Dutton,30-06-1906,Annan
Elizabeth,Eperson,1855-06-07,Banbridge
Tamara,Taylor,05-07-1965,Rothesay
Tricia,Passmore,11-10-1979,Ardrossan
Catherine,Macauley,1842-12-10,Kelso
Mark,Goodwin,28-03-1968,Portadown
Leslie,Smiles,13-02-1980,Dalbeattie
Walter,Pool,1877-01-21,Newtownards
Elizabeth,Howe,1886-03-06,Haddington
Rosetta,Rhodes,1877-08-05,Fraserburgh
Joseph,Durr,15-12-1912,Nairn
Violet,Bird,1889-03-28,Port Glasgow
George,Benson,07-02-1905,Keith
Frederick,Swillinton,1849-10-12,Dumbarton
Arthur,Ely,1851-04-01,Montrose
Thomas,Williams,1880-05-01,Banff
Patrick,Bickerton,05-03-1979,Hawick
James,Cooper,1875-11-04,Dingwall
Leslie,Buttery,10-05-1927,Selkirk
Victor,Emmerson,06-05-1917,Banbridge
Daisy,Smith,1879-04-13,Dingwall
Reginald,Lewis,1884-01-11,Brechin
Emma,Bayley,1852-07-01,Golspie
Irene,Petty,14-01-1910,Aberdeen
Stephen,George,17-08-1970,Inverness
Jesee,Goodhew,1880-12-03,Dalkeith
Fabia,Caputo,20-03-1973,Bangor
Harold,Lee,08-06-1903,Carrickfergus
Mary,Johnson,1872-10-23,Edinburgh
Jacqueline,Nicholas,29-04-1961,Carrickfergus
Jenifer,Davies,11-12-1936,Banbridge
Mary,Brown,19-06-1941,Arbroath
Francis,Nance,1839-04-12,Ardrossan
Susan,Wilson,16-08-1969,Larne
James,Wilton,1881-11-29,Larne
Anna,Bateman,30-09-1911,Kirkwall
Neil,Bates,12-06-1972,Falkirk
Evelyn,Sager,06-10-1903,Crieff
Edward,Archbold,1843-06-25,West Calder
Lessie,Renkin,1873-08-31,Invergordon
Elizabeth,Newman,29-06-1959,Alloa
Margaret,Hearn,28-09-1933,Stirling
Thomas,Saxon,1864-12-22,Lisburn
Ian,Legall,24-05-1959,Lurgan
Nellie,Mccairn,1885-05-20,Keith
Ronald,Harvey,27-09-1926,Kirkintilloch
Dennis,Holmes,12-10-1948,Banbridge
Thomas,Lowis,1875-06-09,Kirriemuir
Enoch,Wilshaw,1844-06-07,Perth
Aim??e,Bryan,13-02-1980,Coleraine
Margaret,Vellacott,1898-06-10,Tillicoultry
Dorothy,Walch,18-04-1919,Ardrossan
Patrick,Dennison,04-11-1926,Dundee
Mavis,Gray,15-09-1932,Selkirk
Ivy,Smith,17-12-1911,Lisburn
John,Curtis,1871-08-19,Blairgowrie
Gillian,Hughes,21-02-1940,Banff
John,Kettle,16-02-1944,Paisley
Frederick,Roper,1888-06-15,Golspie
Doris,Rands,20-07-1919,Haddington
Rajinder,Arora,03-03-1965,Blairgowrie
Eliza,Pryor,1863-04-26,Wick
Annie,Sentance,1867-04-04,Dingwall
Herbert,Sawkins,1877-08-21,Edinburgh
Male,Bland,1858-10-08,Perth
Emma,Steer,17-04-1983,Bangor
Ada,Constantine,1889-05-02,Portadown
Eric,Birdseye,15-09-1917,Inverness
Forster,Hall,20-07-1960,Invergordon
Isabella,Vowles,1885-11-11,Brechin
Arthur,Glover,21-04-1908,Carrickfergus
Shaun,Bromilow,15-09-1966,Jedburgh
James,May,1896-06-18,Dalkeith
Lilian,Bray,1893-12-19,Kinross
Rose,Rawlins,1859-01-05,Crieff
Margaret,Harley,1858-10-21,Kilmarnock
Edward,Thorpe,1852-03-07,Port Glasgow
Lydia,Grundy,1855-09-03,Forres
Dorothy,Storey,1895-03-17,Rothesay
Lucy,Bulman,1844-09-09,Enniskillen
Mabel,Hawke,1891-03-20,Dumbarton
Racheal,Hilden,26-12-1978,Paisley
Sarah,Rees,1875-01-08,Stranraer
Christine,Mortimer,26-07-1956,Helensburgh
Frederic,Escreet,1868-04-20,Milngavie
Susan,Williams,14-11-1956,Wick
Sarah,Brown,1860-11-21,Newry
Hannah,Davis,1853-02-12,Forres
Ellen,Brett,06-02-1900,Stranraer
Thelma,Anderson,22-03-1922,Dromore
Maud,Bimson,1875-03-23,Montrose
Thomas,Bell,28-07-1908,St Andrews
Victoria,Emberson,10-04-1978,Dalkeith
Lee,Ashford,29-08-1981,Helensburgh
Margaret,East,10-06-1950,Forfar
Barbara,Bootyman,11-01-1949,Lisburn
Minnie,Murfitt,1876-01-08,Dumfries
Joshua,Ingham,1847-08-02,Strabane
Sarah,Guest,1859-05-08,Dalry
Jane,Bacon,1865-09-24,Dalbeattie
Michael,Duffy,1864-04-29,Hawick
John,Humphries,08-09-1913,Carrickfergus
Thomas,Bateman,1875-06-08,Dingwall
Honorah,Shanahan,17-07-1921,Kilsyth
Eric,Fish,20-10-1900,Dalbeattie
Priscilla,Pilfold,1864-11-23,Wishaw
John,Cooper,1853-02-04,Musselburgh
James,Young,24-05-1970,Kilsyth
Elsie,Pike,17-11-1931,Glasgow
Keith,Coles,28-11-1954,Enniskillen
Kevin,Withall,13-09-1956,Dufftown
Hilda,Kent,17-03-1916,Bridge of Allan
Alice,Duke,15-05-1906,Castle Douglas
Kevin,O'reilly,03-09-1964,Rothesay
Rachel,Jones,21-07-1969,Larne
Maria,Ridding,1885-08-20,Montrose
Charles,Clark,1876-05-22,Kinross
Frederick,Elvin,1880-07-25,Lerwick
Shelley,Wilson,18-03-1983,Campbeltown
William,Connell,1895-01-22,Bellshill
Graham,Forster,29-11-1981,Port Glasgow
Marjorie,Boehmer,01-05-1900,Grantown-on-Spey
Mary,Arnott,1865-12-25,West Calder
George,Haigh,08-01-1916,Airdrie
Alfred,Williams,1874-01-13,Falkirk
May,Blower,1898-02-12,Stranraer
Barbara,Speakman,03-07-1932,Portadown
Sarah,Pollard,1876-02-16,Hamilton
Lewis,Banfield,1889-01-11,Dumbarton
Neil,Danson,28-06-1962,Galashiels
Douglas,Barton,08-08-1917,Brechin
Maria,Garland,04-08-1955,Helensburgh
David,Hart,20-01-1905,Anstruther
Evelyn,Carter,1899-06-13,Campbeltown
Gwendoline,Lee,04-03-1911,Ballymena
Ronald,Clarke,22-04-1953,Blairgowrie
Tara,Day,24-06-1971,Dingwall
Ernest,Le diku,25-04-1905,Portadown
Albert,Challis,14-07-1922,West Calder
Ray,Williams,03-10-1921,Ayr
Edward,Barnes,1868-05-06,Musselburgh
Stanley,Rogers,11-06-1901,Newtownards
Winifred,Heath,23-05-1908,Stirling
Charles,Abbott,11-11-1922,Langholm
Dora,Boulden,12-07-1905,Thurso
Mary,Carr,1857-08-02,St Andrews
William,Smith,1881-11-02,Dunfermline
George,Marson,1859-01-02,Barrhead
Mary,Kelly,1883-04-09,Greenock
Darren,Fry,20-07-1977,Lerwick
John,Lawler,25-02-1964,Dufftown
William,Thomas,1899-09-20,Wick
Ellen,Freeman,04-01-1900,Peebles
Neil,Goodall,03-12-1976,Newry
William,Morgan,1844-05-21,Fraserburgh
Lily,Shepherd,10-07-1912,Musselburgh
Neil,Robertson,22-06-1960,Dungannon
Henry,Moss,15-11-1912,Banbridge
Babington,Newbould,1867-02-20,Port Glasgow
Laura,Conduit,1895-05-02,Dumbarton
Simon,Latham,20-04-1977,Golspie
Joseph,Willis,30-07-1912,Buckie
Hannah,Houghton,1870-06-18,Motherwell
Lee,Smallwood,07-03-1983,Bathgate
Carol,Williams,19-10-1947,Coatbridge
Jean,Ballantyne,04-12-1940,Newry
James,Brown,21-10-1912,Oban
Ethel,Strange,1875-08-21,Golspie
Charles,Foster,1879-08-10,Forfar
Anthony,Bates,13-06-1935,Newton Stewart
Ernest,Fowler,04-05-1905,Kilsyth
James,Stewart,31-05-1901,Stirling
Andr??,Brearley,01-12-1962,Paisley
Margaret,Hewitt,18-07-1947,Ballymoney
Elizabeth,Large,1845-05-07,Keith
Leon,De mirimonde,1865-07-29,Milngavie
Anthony,Morris,05-12-1975,Stirling
David,Pearce,17-07-1946,Linlithgow
James,Firman,08-09-1974,Milngavie
Richard,Elliott,1858-08-20,Dumfries
John,Causer,1888-09-11,Peebles
Trevor,Lewis,23-08-1956,Banbridge
Angela,Oxberry,24-07-1952,Wishaw
William,Miller,1863-01-13,Lisburn
Margaret,Gibbons,12-06-1941,Montrose
Horace,Bradley,20-09-1902,Irvine
Faruk,Deen,24-02-1980,Keith
David,Porter,02-07-1960,Carrickfergus
Averill,Stiles,22-09-1950,Castle Douglas
James,Kitts,02-07-1900,Blairgowrie
Thomas,Baker,05-04-1907,Hawick
Charles,Johnson,1859-06-23,Inverness
Ivor,Grasby,21-06-1922,Rothesay
Amardeep,Kularia,20-11-1976,Strabane
Agnes,Howells,1869-09-23,Larne
Kathleen,Mcelligott,23-05-1907,Oban
John,Neild,1898-08-09,Downpatrick
Ann,Holt,1844-02-21,Hawick
Mary,Twite,1863-03-30,Golspie
Walter,Short,1884-08-14,Kirkintilloch
Audrey,Davidson,24-06-1920,Paisley
Ernest,Young,08-03-1907,Haddington
Katherine,Lawson,05-12-1974,Armagh
Rebecca,Combs,1864-05-31,Lockerbie
Lorna,Woods,10-02-1949,St Andrews
Kate,Murray,1894-02-03,Grantown-on-Spey
Laurence,Burns,25-01-1913,Carluke
Joyce,Mann,28-05-1936,Enniskillen
Maud,Winchurch,1899-10-26,Newry
Emily,Worswick,1895-09-21,Kirkcaldy
Thomas,Stevenson,12-06-1923,Langholm
Gabriel,Simmonds,1896-12-02,Armagh
Will,Gray,01-05-1914,West Calder
Florinda,Stowell,1895-06-12,Banff
Janet,Godefroy,19-09-1938,Lanark
George,Linkin,1876-08-21,Milngavie
Evelyn,Melling,15-09-1932,Milngavie
Georgina,Shipstone,24-08-1958,Bangor
Irene,Harrington,09-09-1937,Blairgowrie
Alice,Moody,30-10-1914,Coleraine
Ian,Noakes,18-12-1954,Langholm
Ian,Morrissey,14-08-1976,Bridge of Allan
Freeman,Fairbrother,30-10-1922,Selkirk
Cecil,Thomas,1898-07-31,Annan
Frederick,Belcher,1883-04-26,Downpatrick
Arthur,Beyer,18-04-1909,Buckie
William,Bentley,18-08-1909,Dalkeith
Leslie,Sutherland,21-06-1951,Stranraer
Jane,Barrington,1872-01-19,Annan
Caroline,Shepherd,30-08-1958,Kelso
George,Hodgson,1878-08-23,Peebles
Darren,Baya,10-11-1982,Annan
Mariantonia,Palacios,30-10-1960,Carrickfergus
Arthur,Taylor,1878-06-16,Bellshill
Joanne,Maunder,29-10-1971,Newton Stewart
Julia,Wood,14-03-1949,Alloa
Moawia,Shingrai,05-10-1975,Carluke
Mary,Milton,1838-10-06,Kirkcaldy
Leanne,Hurcombe,09-02-1982,Greenock
Dora,Sack,15-11-1917,Perth
Cosmo,Cooper-key,10-06-1980,Grantown-on-Spey
Edwin,Barlatt-browne,01-09-1973,Galashiels
Lily,Broughton,27-09-1904,Carrickfergus
Ivy,Rowley,20-05-1927,Montrose
John,Welsh,1866-03-27,Blairgowrie
Beatrice,Kerry,1896-08-04,Campbeltown
Archibald,Sandbach,1847-03-13,Edinburgh
Katherine,Thomson,08-09-1970,Irvine
William,Richardson,1862-06-16,Dungannon
Arthur,Williams,19-10-1903,Elgin
Joan,Male,09-09-1917,Haddington
Stephanie,Whitehead,10-09-1963,Buckie
Bertie,Sitch,1875-08-25,Carrickfergus
William,Broom,1866-01-14,St Andrews
Dora,Crompton,1892-01-16,Belfast
Naomi,Gibson,23-09-1982,Bridge of Allan
Hannah,Smith,11-03-1971,Stranraer
Judith,Pritchard,25-01-1945,Forres
Alfred,Hawkes,1872-12-28,Kirriemuir
Karen,Griffiths,20-12-1963,Nairn
Robert,Aitkin,08-11-1925,Helensburgh
Henry,Mckee,1876-07-03,Bangor
Thirza,Russell,11-04-1910,Stirling
Catherine,Bryant,1867-06-07,Invergordon
Norman,Healy,14-03-1917,Wick
Faye,Tovey,23-07-1983,Portsoy
Arthur,Mills,1872-06-02,Coatbridge
Margaret,Lee,19-03-1944,Dufftown
Graham,Page,30-09-1969,Keith
Sarah,Lonsdale,1862-06-23,Bellshill
Mary,Moffatt,25-12-1920,Dalry
Jemima,Gibbs,1842-06-08,Lisburn
Emma,Hazlehurst,1872-12-15,Annan
Helen,Mcgovern,23-03-1972,Elgin
Elizabeth,Prosser,09-07-1966,Stonehaven
George,Connell,20-05-1942,Helensburgh
Joel,Nixon,29-10-1913,Edinburgh
Gabriella,Garcia,21-05-1964,Clydebank
William,Banfield,12-05-1904,Stornoway
Doreen,Randall,02-12-1926,Langholm
Harry,Burrage,1887-12-19,Newry
Joseph,Osbaldeston,21-02-1924,Stonehaven
George,Blake,1887-05-30,Thurso
John,Bell,19-06-1923,Portadown
William,Knowles,1891-11-27,Carrickfergus
Alice,Johnson,1865-05-28,Montrose
Joan,Anthony,29-03-1971,Fraserburgh
Catherine,Caplin,1876-05-07,St Andrews
Debra,Burns,21-09-1970,Dalbeattie
Katherine,Harrington,09-07-1960,Dalbeattie
Sarah,Thornton,21-10-1901,Milngavie
Christopher,Humphreys,28-05-1943,Cookstown
James,Allen,1862-12-30,Glasgow
Marion,Muldoon,05-03-1957,Buckie
Male,Ashworth,1872-12-31,Edinburgh
Geoffrey,Wilks,31-07-1950,Lurgan
Susan,Bland,23-09-1959,Clydebank
Alfred,Ellerbeck,13-11-1909,Wick
Sidney,Hope,31-12-1923,Lerwick
Colin,Clarke,29-01-1971,Blairgowrie
Peter,Wiltshier,27-10-1941,Banbridge
William,Trueman,1888-03-23,Portsoy
John,Winnett,11-05-1953,Montrose
Mary,Long,1899-02-07,Barrhead
Constance,Squires,24-03-1937,Jedburgh
Samuel,Beardsley,1870-04-07,Alloa
Patricia,Readhead,21-08-1944,Greenock
Irene,Rossington,20-04-1964,Langholm
Joseph,Shephard,1853-08-03,Grantown-on-Spey
Gertrude,Richardson,1854-05-11,Buckie
Hannah,Brown,06-07-1977,Crieff
Glenys,Jones,05-09-1936,Jedburgh
Hilde,Walkling,24-08-1914,Port Glasgow
Margaret,Bailey,18-12-1950,Strabane
William,Hetherington,1871-10-11,Dromore
Tom,Owen,13-08-1930,Kirkcaldy
Samantha,Lyons,14-01-1968,Keith
Mary,Wagstaff,1843-06-02,Thurso
Gillian,Carter,13-03-1945,Strabane
Jason,Weir,03-01-1968,Lerwick
Violet,Lockyer,11-01-1923,Newton Stewart
Constance,Lovell,29-04-1916,Forfar
Job,Dixon,28-08-1905,Armagh
Donna,Jenkins,16-08-1964,Dumfries
Jessica,Shaw,11-04-1983,Ballymena
Kate,Leonard,1890-02-08,Edinburgh
Fred,Porter,1867-04-26,Portsoy
Mary,Rooney,18-10-1913,Thurso
Stephen,Hughes,03-11-1956,Anstruther
Steven,Scott,03-09-1983,Ardrossan
Beatrice,Pook,1890-09-26,Rothesay
Catherine,Routledge,1879-12-07,Perth
Jason,Christie,19-01-1970,Cupar
George,Stout,12-08-1926,Dingwall
Leonard,Green,12-01-1911,Kinross
Alfred,Robins,1899-03-29,Campbeltown
Maria,Williams,1880-02-13,Glasgow
Nora,Harrington,29-12-1934,West Calder
Thomas,Steward,1877-09-13,Port Glasgow
Alfred,Garment,1863-04-07,Barrhead
Joseph,Allsop,1854-02-14,Tillicoultry
Margery,Rice,27-06-1921,Omagh
John,Rogers,14-11-1942,Thurso
Marie,Husain,12-09-1975,Falkirk
Kevin,Lyons,09-11-1975,Bellshill
William,Morse,01-06-1901,Glasgow
Elizabeth,Roffey,1848-11-07,Carrickfergus
Lily,Slaughter,12-05-1901,Stonehaven
Henry,Holmes,12-10-1901,Anstruther
Roger,Mackintosh,20-10-1973,Brechin
William,Bell,1846-01-07,Greenock
Frederick,Card,30-09-1929,Portsoy
Elizabeth,Tinsley,1847-03-22,Newry
Sandra,Anyaegbu,08-04-1980,Haddington
George,Raggett,24-12-1906,Elgin
Mary,Brannin,1842-08-08,Blairgowrie
Stuart,Tagg,30-07-1976,Banbridge
David,Baker,01-01-1951,Carrickfergus
Carole,Blaskett,09-03-1968,Campbeltown
Mary,Jenner,1855-01-26,Kinross
Liam,Duggan,26-02-1977,Annan
Annie,Leech,29-11-1913,Armagh
William,Street,16-10-1923,Tillicoultry
Hazel,Rogers,01-05-1945,Rothesay
Douglas,Russell,24-12-1924,Grantown-on-Spey
James,Pomfret,1899-11-07,Coatbridge
Andrew,Taylor,12-12-1971,Grantown-on-Spey
Roland,Edge,1881-08-12,Ballymena
Rose,Coleman,1858-08-30,Forfar
Charles,Reynolds,1844-08-03,Glasgow
Paul,Vallance,21-06-1959,Falkirk
Martha,Shaw,1898-10-30,Lockerbie
Thelma,Conyers,05-12-1930,Edinburgh
Linda,Ross,11-07-1955,Strabane
Jack,Winter,16-08-1923,Port Glasgow
Female,Aylard,1839-12-18,Rothesay
Ivy,Ash,05-08-1910,Galashiels
Eleanor,Gott,1848-09-28,Kilmarnock
George,Austen,1878-09-27,Campbeltown
Harold,Symons,29-08-1906,Portsoy
Sarah,Whalley,1886-11-28,Belfast
Ian,Lewinson,27-08-1962,Coatbridge
Carlton,Hardwicke,09-05-1955,Hamilton
Tom,Harris,11-01-1900,Campbeltown
David,Winterburn,24-07-1948,Stranraer
Graeme,Richards,12-10-1959,Hamilton
Daisy,Blanchard,1886-07-18,Dungannon
Ernest,Berrisford,1892-10-16,Barrhead
Gertrude,Whitehouse,03-08-1900,Irvine
John,Anderson,11-10-1909,Cookstown
Robert,Sillis,1854-05-26,Greenock
Kenneth,Brown,20-11-1944,Stonehaven
Thomas,Wood,1855-01-14,Milngavie
Richard,Long,03-06-1951,Selkirk
Joanne,Bridge,14-01-1965,Stirling
Annie,Jones,15-07-1907,Strabane
Helen,Simpson,25-03-1974,Irvine
Hayley,Davies,02-06-1968,Kelso
Arthur,Willis,1889-01-07,Milngavie
Pauline,Fereday,04-10-1943,Dalbeattie
Sydney,Dixon,30-10-1928,Stornoway
Bertha,Buckton,1896-09-01,Port Glasgow
Mychajlo,Bahan,05-09-1959,Banff
Anne,Staniforth,1857-11-28,Golspie
Charles,Williams,1867-12-12,Haddington
Bertha,Fox,1884-05-13,Dingwall
Thomas,Leatherbarrow,1877-09-12,Downpatrick
Alicia,Macaulay,11-06-1901,Carrickfergus
Edna,Jenkins,08-04-1928,Banbridge
Thomas,Embleton,1868-09-02,Stirling
George,Dennison,08-01-1902,Lurgan
Minnie,Swales,14-05-1910,Crieff
Sophie,Wooldridge,30-11-1974,St Andrews
Hayley,Pugh,19-04-1979,Kilmarnock
Arthur,Smith,23-02-1930,Kirriemuir
Muriel,Jones,26-11-1900,Buckie
Leonard,Osborne,1896-02-11,Crieff
Geoffrey,Best,28-10-1924,Kilmarnock
Mary,Mercer,1862-07-28,Wick
Annie,Goddard,01-04-1901,Peterhead
Martha,Disley,22-05-1904,Coatbridge
Mary,Strong,1884-12-04,Elgin
George,Stokes,24-06-1910,Golspie
Edith,Churchley,1897-01-25,Irvine
Tracy,Rothery,02-01-1966,Ayr
Kenneth,Titley,02-10-1957,Glasgow
Joan,Ingram,11-03-1922,Dromore
Brenda,Richardson,20-01-1932,Clydebank
Andrew,Gaylor,29-08-1947,Nairn
Andrew,Budd,24-09-1957,Dungannon
John,Dickins,1864-04-24,Forfar
Jeffrey,Key,23-08-1940,Glasgow
Alice,Mansfield,13-06-1918,Brechin
Edward,Hartley,27-03-1915,Wick
Andrew,Moss,16-08-1983,Dumfries
John,Anderson,1878-09-06,Nairn
William,Gartrell,1868-05-27,Peebles
Mary,Mainwaring,1883-04-12,Kelso
Newrick,Jarrett,28-09-1900,Haddington
Maureen,Elstob,24-07-1949,Paisley
George,Starkey,1840-01-18,St Andrews
James,Neild,07-03-1965,Port Glasgow
John,Strasman,1853-01-23,Stornoway
Female,Peake,1846-10-31,Cupar
William,Palmer,1877-09-22,Blairgowrie
George,Sweet,17-05-1911,Wick
Jean,Wood,28-01-1927,Kinross
Henry,Pratt,17-10-1900,Buckie
Louise,Lazarowicz,04-02-1958,Paisley
Michaela,New,26-07-1977,Ayr
Thomas,Bailey,20-06-1968,Musselburgh
Thomas,Woodward,03-08-1900,Dalkeith
Amelia,Begum,10-08-1982,Ballymena
Edward,Caddy,1844-07-12,Kirriemuir
Charles,Tomlinson,30-09-1901,Bridge of Allan
Albert,Cara,1891-10-23,Campbeltown
Leonardo,D'aleo,08-10-1971,Invergordon
Joseph,Darby,1847-08-13,Brechin
Lizzie,Keeling,1883-05-08,Carrickfergus
Mary,Baines,05-05-1941,Forfar
William,Thwaites,30-08-1923,Clydebank
Elizabeth,Bullock,1891-11-03,Bellshill
John,Piesik,18-10-1951,Kirkintilloch
Hetty,Best,06-02-1900,Keith
Jeanette,Edwards,15-04-1951,Ayr
Richard,Hardy,07-07-1948,Stirling
William,Shepheard,1883-08-06,Banff
Terry,Clark,20-09-1975,Paisley
Isabella,Atkinson,1881-05-07,Greenock
Mary,Crossland,1888-10-17,Carrickfergus
Alfred,Burley,1879-08-04,Fraserburgh
Joseph,Johnson,30-08-1914,Crieff
Primrose,Burton,21-02-1971,Forfar
Shafiya,Begum,04-03-1981,Lockerbie
Minnie,Driver,1885-06-01,Glasgow
Phillip,Winchester,12-08-1972,Lockerbie
Hannah,Lloyd,1858-05-06,Falkirk
Graham,Seddon,12-12-1976,Dalbeattie
Emma,Holden,30-07-1967,Oban
